代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
600765,中航重机,19.78,5.44,1.02,-0.05,2.71,1.52,6.13,7.73亿,14.69亿,290.50亿,22.79
603055,台华新材,12.07,5.42,0.62,0.08,1.21,1.84,5.85,1.28亿,8.88亿,107.14亿,17.94
301591,肯特股份,49.58,5.40,2.54,0.02,32.45,0.94,11.10,3.19亿,1994.36万,9.89亿,61.16
300952,恒辉安防,22.45,5.40,1.15,-0.84,19.71,3.43,11.69,2.41亿,5485.27万,12.31亿,36.58
300098,高新兴,3.33,5.38,0.17,0.00,5.60,4.54,9.18,2.83亿,15.42亿,51.34亿,185.37
002005,ST德豪,0.98,5.38,0.05,0.00,0.73,1.41,5.38,1238.50万,17.52亿,17.17亿,亏损
688248,南网科技,31.45,5.33,1.59,0.03,4.62,1.22,7.27,3.22亿,2.28亿,71.83亿,105.79
300737,科顺股份,5.38,5.28,0.27,0.00,4.72,2.38,10.76,2.26亿,9.00亿,48.43亿,30.03
600318,新力金融,6.39,5.27,0.32,0.00,4.23,2.46,8.07,1.36亿,5.13亿,32.76亿,61.02
300806,斯迪克,10.03,5.25,0.50,0.10,9.02,1.97,9.97,2.42亿,2.76亿,27.65亿,60.98
002851,麦格米特,29.41,5.22,1.46,-0.10,7.08,0.80,5.69,8.48亿,4.13亿,121.50亿,26.61
872931,无锡鼎邦,9.07,5.22,0.45,0.00,22.84,1.20,9.05,4821.59万,2377.58万,2.16亿,20.53
600329,达仁堂,37.33,5.21,1.85,0.00,1.68,2.27,5.97,3.49亿,5.66亿,211.24亿,18.56
600406,国电南瑞,24.08,5.20,1.19,0.21,0.84,1.79,6.07,15.87亿,79.84亿,1922.66亿,81.18
301488,豪恩汽电,60.54,5.20,2.99,0.05,24.46,2.31,6.99,3.02亿,2098.89万,12.71亿,76.97
601136,首创证券,21.18,5.16,1.04,0.24,12.90,2.21,5.56,12.98亿,4.81亿,101.98亿,65.71
300772,运达股份,11.05,5.14,0.54,0.00,2.91,1.83,6.57,2.20亿,6.95亿,76.78亿,27.45
600531,豫光金铅,7.37,5.14,0.36,0.14,6.70,0.69,7.13,5.30亿,10.90亿,80.35亿,11.89
831834,三维股份,5.53,5.13,0.27,0.00,3.52,2.53,8.18,627.70万,3296.40万,1.82亿,35.43
002245,蔚蓝锂芯,8.42,5.12,0.41,0.12,5.72,5.79,8.49,5.20亿,10.84亿,91.25亿,34.32
600993,马应龙,29.17,5.12,1.42,0.00,2.56,1.95,5.69,3.18亿,4.30亿,125.52亿,15.90
300001,特锐德,22.68,5.10,1.10,-0.22,2.91,1.67,7.37,6.61亿,10.28亿,233.14亿,97.20
603357,设计总院,10.32,5.09,0.50,0.00,5.34,2.71,5.60,2.98亿,5.51亿,56.82亿,12.91
000525,ST红太阳,6.25,5.04,0.30,0.00,1.92,1.02,8.07,6771.72万,5.81亿,36.29亿,45.20
002310,*ST东园,1.46,5.04,0.07,0.00,3.59,1.04,7.19,1.38亿,26.85亿,39.20亿,亏损
